id,station_name,date,state,elevation_ft,latitude,longitude,air_temp_obs_c,air_temp_avg_c,reservoir_volume_dam3,precipitation_mm,snow_depth_cm,snow_density_pct,snow_water_equiv_mm,snow_rain_ratio,station_type
48,Abbey,2018-04-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,56.0,38.6,216.0,,precip
49,Abbey,2018-05-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
50,Abbey,2018-06-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
51,Abbey,2018-07-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
52,Abbey,2018-08-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
53,Abbey,2018-09-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
54,Abbey,2018-10-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
55,Abbey,2018-11-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
56,Abbey,2018-12-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
57,Abbey,2019-01-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,18.0,21.4,38.0,,precip
58,Abbey,2019-02-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,66.0,32.7,216.0,,precip
59,Abbey,2019-03-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,168.0,31.1,521.0,,precip
60,Adin Mountains,2014-04-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,5.0,,15.0,,precip
61,Adin Mountains,2014-05-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,0.0,,0.0,,precip
62,Adin Mountains,2014-06-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
63,Adin Mountains,2014-07-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
64,Adin Mountains,2014-08-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
65,Adin Mountains,2014-09-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
66,Adin Mountains,2014-10-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
67,Adin Mountains,2014-11-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
68,Adin Mountains,2014-12-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
69,Adin Mountains,2015-01-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
70,Adin Mountains,2015-02-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,5.0,,15.0,,precip
71,Adin Mountains,2015-03-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,0.0,,0.0,,precip
72,Adin Mountains,2015-04-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,0.0,,0.0,,precip
73,Adin Mountains,2015-05-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,0.0,,0.0,,precip
74,Adin Mountains,2015-06-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
75,Adin Mountains,2015-07-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
76,Adin Mountains,2015-08-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
77,Adin Mountains,2015-09-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
78,Adin Mountains,2015-10-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
79,Adin Mountains,2015-11-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
80,Adin Mountains,2015-12-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
81,Adin Mountains,2016-01-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
82,Adin Mountains,2016-02-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,124.0,31.4,391.0,,precip
83,Adin Mountains,2016-03-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,97.0,38.7,373.0,,precip
84,Adin Mountains,2016-04-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,89.0,44.6,396.0,,precip
85,Adin Mountains,2016-05-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,0.0,,0.0,,precip
86,Adin Mountains,2016-06-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
87,Adin Mountains,2016-07-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
88,Adin Mountains,2016-08-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
89,Adin Mountains,2016-09-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
90,Adin Mountains,2016-10-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
91,Adin Mountains,2016-11-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
92,Adin Mountains,2016-12-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
93,Adin Mountains,2017-01-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
94,Adin Mountains,2017-02-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,109.0,31.2,340.0,,precip
95,Adin Mountains,2017-03-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,145.0,33.3,483.0,,precip
96,Adin Mountains,2017-04-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,107.0,40.0,427.0,,precip
97,Adin Mountains,2017-05-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,71.0,42.5,302.0,,precip
98,Adin Mountains,2017-06-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
99,Adin Mountains,2017-07-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
100,Adin Mountains,2017-08-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
101,Adin Mountains,2017-09-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
102,Adin Mountains,2017-10-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
103,Adin Mountains,2017-11-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
104,Adin Mountains,2017-12-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
105,Adin Mountains,2018-01-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
106,Adin Mountains,2018-02-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,30.0,26.7,81.0,,precip
107,Adin Mountains,2018-03-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,43.0,25.9,112.0,,precip
108,Adin Mountains,2018-04-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,53.0,37.1,198.0,,precip
109,Adin Mountains,2018-05-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
110,Adin Mountains,2018-06-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
111,Adin Mountains,2018-07-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
112,Adin Mountains,2018-08-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
113,Adin Mountains,2018-09-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
114,Adin Mountains,2018-10-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
115,Adin Mountains,2018-11-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
116,Adin Mountains,2018-12-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
117,Adin Mountains,2019-01-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,,,,,precip
118,Adin Mountains,2019-02-01 00:00:00+00:00,CA,6190,41.23483,-120.79467,,,,,91.0,30.6,279.0,,precip
119,Adin Mtn,2014-04-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-3.3,4.3,,401.0,36.0,25.7,91.0,48.0,precip
120,Adin Mtn,2014-05-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,6.5,8.6,,460.0,0.0,,0.0,0.0,precip
121,Adin Mtn,2014-06-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,8.6,13.2,,488.0,0.0,,0.0,0.0,precip
122,Adin Mtn,2014-07-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,12.3,18.3,,498.0,0.0,,0.0,0.0,precip
123,Adin Mtn,2014-08-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,14.3,15.3,,526.0,0.0,,0.0,0.0,precip
124,Adin Mtn,2014-09-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,10.7,13.1,,531.0,0.0,,0.0,0.0,precip
125,Adin Mtn,2014-10-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,3.2,7.6,,0.0,0.0,,0.0,3.0,precip
126,Adin Mtn,2014-11-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,1.7,2.3,,74.0,0.0,,0.0,21.0,precip
127,Adin Mtn,2014-12-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,1.1,0.1,,173.0,10.0,,20.0,65.0,precip
128,Adin Mtn,2015-01-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-9.8,1.6,,282.0,15.0,33.3,51.0,433.0,precip
129,Adin Mtn,2015-02-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-3.7,2.9,,290.0,5.0,,18.0,30.0,precip
130,Adin Mtn,2015-03-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-3.7,4.3,,340.0,5.0,,10.0,54.0,precip
131,Adin Mtn,2015-04-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-2.5,4.2,,373.0,0.0,,0.0,35.0,precip
132,Adin Mtn,2015-05-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,3.3,8.0,,417.0,0.0,,0.0,0.0,precip
133,Adin Mtn,2015-06-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,8.6,15.4,,538.0,0.0,,0.0,0.0,precip
134,Adin Mtn,2015-07-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,12.8,15.4,,551.0,0.0,,0.0,0.0,precip
135,Adin Mtn,2015-08-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,15.1,15.4,,630.0,0.0,,0.0,0.0,precip
136,Adin Mtn,2015-09-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,7.4,11.4,,632.0,0.0,,0.0,0.0,precip
137,Adin Mtn,2015-10-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,7.5,8.4,,0.0,0.0,,0.0,0.0,precip
138,Adin Mtn,2015-11-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,7.3,-1.8,,36.0,0.0,,0.0,112.0,precip
139,Adin Mtn,2015-12-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-3.3,-2.4,,119.0,30.0,23.3,71.0,103.0,precip
140,Adin Mtn,2016-01-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-15.2,-1.5,,345.0,91.0,31.4,287.0,95.0,precip
141,Adin Mtn,2016-02-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-6.9,1.1,,498.0,119.0,36.2,432.0,107.0,precip
142,Adin Mtn,2016-03-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,2.3,1.8,,536.0,89.0,47.7,424.0,83.0,precip
143,Adin Mtn,2016-04-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,0.5,5.4,,673.0,81.0,49.7,404.0,5.0,precip
144,Adin Mtn,2016-05-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,4.8,8.2,,726.0,0.0,,0.0,14.0,precip
145,Adin Mtn,2016-06-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,6.7,12.9,,782.0,0.0,,0.0,0.0,precip
146,Adin Mtn,2016-07-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,16.4,15.9,,805.0,0.0,,0.0,0.0,precip
147,Adin Mtn,2016-08-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,11.7,16.3,,813.0,0.0,,0.0,0.0,precip
148,Adin Mtn,2016-09-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,6.7,11.4,,815.0,0.0,,0.0,,precip
149,Adin Mtn,2016-10-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,4.1,5.5,,0.0,0.0,,0.0,5.0,precip
150,Adin Mtn,2016-11-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,0.7,2.4,,102.0,0.0,,0.0,92.0,precip
151,Adin Mtn,2016-12-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-4.6,-3.8,,168.0,25.0,22.0,56.0,88.0,precip
152,Adin Mtn,2017-01-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-9.2,-4.0,,295.0,41.0,27.5,112.0,111.0,precip
153,Adin Mtn,2017-02-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-5.0,-0.6,,505.0,107.0,31.7,338.0,100.0,precip
154,Adin Mtn,2017-03-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-11.0,1.7,,704.0,145.0,36.0,521.0,90.0,precip
155,Adin Mtn,2017-04-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,2.3,2.7,,808.0,102.0,47.5,483.0,43.0,precip
156,Adin Mtn,2017-05-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,1.0,8.6,,942.0,48.0,47.9,231.0,0.0,precip
157,Adin Mtn,2017-06-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,8.2,13.1,,980.0,0.0,,0.0,0.0,precip
158,Adin Mtn,2017-07-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,10.8,17.1,,1006.0,0.0,,0.0,0.0,precip
159,Adin Mtn,2017-08-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,22.0,17.2,,1021.0,0.0,,0.0,0.0,precip
160,Adin Mtn,2017-09-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,12.9,11.5,,1034.0,0.0,,0.0,0.0,precip
161,Adin Mtn,2017-10-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,0.2,5.5,,0.0,0.0,,0.0,33.0,precip
162,Adin Mtn,2017-11-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-1.8,2.2,,15.0,0.0,,0.0,55.0,precip
163,Adin Mtn,2017-12-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-1.2,-0.3,,157.0,0.0,,0.0,220.0,precip
164,Adin Mtn,2018-01-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-1.8,1.1,,183.0,8.0,40.0,30.0,106.0,precip
165,Adin Mtn,2018-02-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,0.0,-2.5,,272.0,23.0,31.1,71.0,107.0,precip
166,Adin Mtn,2018-03-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-1.7,-0.4,,307.0,41.0,25.6,104.0,84.0,precip
167,Adin Mtn,2018-04-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-0.6,3.7,,419.0,33.0,44.6,147.0,44.0,precip
168,Adin Mtn,2018-05-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,0.5,9.0,,559.0,5.0,,20.0,0.0,precip
169,Adin Mtn,2018-06-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,2.9,12.5,,671.0,0.0,,0.0,0.0,precip
170,Adin Mtn,2018-07-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,15.4,17.5,,681.0,0.0,,0.0,0.0,precip
171,Adin Mtn,2018-08-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,10.7,15.2,,683.0,0.0,,0.0,,precip
172,Adin Mtn,2018-09-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,11.4,11.3,,683.0,0.0,,0.0,,precip
173,Adin Mtn,2018-10-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,1.9,5.7,,0.0,0.0,,0.0,0.0,precip
174,Adin Mtn,2018-11-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,1.6,1.4,,53.0,0.0,,0.0,72.0,precip
175,Adin Mtn,2018-12-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-1.4,-2.0,,127.0,15.0,31.7,48.0,145.0,precip
176,Adin Mtn,2019-01-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-8.7,-0.7,,201.0,43.0,27.6,119.0,136.0,precip
177,Adin Mtn,2019-02-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,2.9,-4.2,,335.0,86.0,31.8,274.0,130.0,precip
178,Adin Mtn,2019-03-01 00:00:00+00:00,CA,6190,41.23583,-120.79191999999999,-5.4,0.0,,513.0,135.0,36.0,485.0,155.0,precip
179,Agnew Pass,2014-04-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,107.0,31.0,330.0,,precip
180,Agnew Pass,2014-05-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,81.0,,precip
181,Agnew Pass,2014-06-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
182,Agnew Pass,2014-07-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
183,Agnew Pass,2014-08-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
184,Agnew Pass,2014-09-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
185,Agnew Pass,2014-10-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
186,Agnew Pass,2014-11-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,8.0,,precip
187,Agnew Pass,2014-12-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,10.0,,precip
188,Agnew Pass,2015-01-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,157.0,,precip
189,Agnew Pass,2015-02-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,56.0,25.0,155.0,,precip
190,Agnew Pass,2015-03-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,61.0,35.4,216.0,,precip
191,Agnew Pass,2015-04-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,5.0,50.0,38.0,,precip
192,Agnew Pass,2015-05-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,8.0,,precip
193,Agnew Pass,2015-06-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
194,Agnew Pass,2015-07-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
195,Agnew Pass,2015-08-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
196,Agnew Pass,2015-09-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
197,Agnew Pass,2015-10-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
198,Agnew Pass,2015-11-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,5.0,,precip
199,Agnew Pass,2015-12-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,89.0,,precip
200,Agnew Pass,2016-01-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,185.0,,precip
201,Agnew Pass,2016-02-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,130.0,26.5,401.0,,precip
202,Agnew Pass,2016-03-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,137.0,35.2,483.0,,precip
203,Agnew Pass,2016-04-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,130.0,40.2,572.0,,precip
204,Agnew Pass,2016-05-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,348.0,,precip
205,Agnew Pass,2016-06-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
206,Agnew Pass,2016-07-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
207,Agnew Pass,2016-08-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
208,Agnew Pass,2016-09-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
209,Agnew Pass,2016-10-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,0.0,,precip
210,Agnew Pass,2016-11-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,15.0,,precip
211,Agnew Pass,2016-12-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,94.0,,precip
212,Agnew Pass,2017-01-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,208.0,,precip
213,Agnew Pass,2017-02-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,310.0,32.8,1057.0,,precip
214,Agnew Pass,2017-03-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,396.0,38.5,1524.0,,precip
215,Agnew Pass,2017-04-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,338.0,44.7,1511.0,,precip
216,Agnew Pass,2017-05-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,,,precip
217,Agnew Pass,2017-06-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,,,precip
218,Agnew Pass,2017-07-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,,,precip
219,Agnew Pass,2017-08-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,,,precip
220,Agnew Pass,2017-09-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,,,precip
221,Agnew Pass,2017-10-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,,,precip
222,Agnew Pass,2017-11-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,,,precip
223,Agnew Pass,2017-12-01 00:00:00+00:00,CA,9450,37.724,-119.143,,,,,,,142.0,,precip
