year,longitude_group,elevation_group,water_mm_sum,temp_c_mu,temp_c_max,elevation_ft
2017,3,16,51701,1.7833333333333332,16,8557
2017,1,15,31619,6.15,19.8,8013
2017,2,15,113306,2.81,18.3,8067
2017,3,15,32869,1.3,14.1,7884
2017,4,15,2567,0.8,14.2,7825
2017,1,14,14494,3.75,21.8,7208
2017,2,14,17306,0.1,16.4,7360
2017,3,14,16044,0.8000000000000002,13.3,7198
2017,4,14,3619,2.55,16.3,7340
2017,1,13,46871,-1.1999999999999997,14.9,7030
2017,2,13,49777,2.075,16.3,6797
2017,1,12,21339,0.375,22,6436
2017,2,12,32641,3.725,17.5,6509
2017,3,12,29330,2.825,14.6,6510
2017,4,12,1666,11.5,25.7,6183
2017,1,11,5636,3.85,23.3,5680
2017,1,10,12635,3.0666666666666664,21.2,5170
2017,4,10,1332,8.75,22.1,5399
2017,1,7,4140,11.7,26.9,3704
2017,4,7,923,12.4,24.8,3643
2017,4,6,2451,13,27,2995
2017,3,5,2150,12.65,29.2,2697
2017,4,5,1358,13.85,32.4,2644
2017,4,4,559,14.149999999999999,30.3,2062
2017,1,1,1835,17.85,33.3,875
2017,4,1,1365,19.825,36.3,556
2018,3,18,12824,3.1,14.5,9604
2018,4,18,14310,1.65,13,9445
2018,3,17,29884,2.683333333333333,16.2,8801
2018,1,16,11294,4.6,17.7,8338
2018,2,16,21906,2.283333333333333,15.1,8534
2018,3,16,19182,1.8000000000000003,14.4,8557
2018,1,15,12521,5.05,17.7,8013
2018,2,15,42449,3.07,18.5,8067
2018,3,15,12509,0.625,15.3,7884
2018,4,15,1380,0.8999999999999999,12.5,7825
2018,1,14,9035,4.324999999999999,17.3,7208
2018,2,14,9098,0.04999999999999999,14,7360
2018,3,14,6139,1.4,13.2,7198
2018,4,14,1442,2,15.1,7340
2018,1,13,18880,0.08333333333333333,15.1,7030
2018,2,13,20623,1.875,15.6,6797
2018,1,12,10357,1.1749999999999998,15.4,6436
2018,2,12,12660,3.0500000000000003,17.6,6509
2018,3,12,11428,2.75,14.9,6510
2018,4,12,523,10.55,22.6,6183
2018,1,11,3094,3.8,15.2,5680
2018,1,10,5039,1.6833333333333333,17.9,5170
2018,4,10,570,9.850000000000001,24.3,5399
2018,1,7,4739,10.1,24.4,3704
2018,4,7,482,11.1,27.9,3643
2018,4,6,899,11.6,26.3,2995
2018,3,5,753,13.45,28,2697
2018,4,5,283,16.9,30.9,2644
2018,4,4,396,16.85,30.9,2429
2018,1,1,763,17.05,32.8,875
2018,4,1,210,20.5,36.2,556
2019,3,18,5161,-3.8,-0.8,9604
2019,4,18,6659,-3.1,-1.1,9445
2019,3,17,11933,-2.933333333333333,1.5,8801
2019,1,16,4306,-3.1,1.9,8338
2019,2,16,8840,-2.2333333333333334,-0.9,8534
2019,3,16,9430,-2.8333333333333335,0.6,8557
2019,1,15,4760,-2.3,0.7,8013
2019,2,15,17858,-1.8916666666666666,2.7,8067
2019,3,15,5206,-1.35,1.9,7884
2019,4,15,178,-1.8,1.4,7825
2019,1,14,2670,-5.125,3.5,7208
2019,2,14,3357,-7.3,0.9,7360
2019,3,14,2420,-3.8,2.3,7198
2019,4,14,412,-3.3,3.7,7340
2019,1,13,8499,-2.533333333333333,2.4,7030
2019,2,13,8153,0.75,2.2,6797
2019,1,12,3880,-3.45,2.9,6436
2019,2,12,4705,-0.04999999999999993,3.4,6509
2019,3,12,3916,-1.4500000000000002,4.4,6493
2019,4,12,311,4.2,9.1,6183
2019,1,11,1291,-4.1,2.8,5680
2019,1,10,1475,-4.25,1.1,5170
2019,4,10,237,-0.1,5.8,5399
2019,1,7,1952,1.2,7.3,3704
2019,4,7,123,5.1,9.4,3643
2019,4,6,321,5.5,8.4,2995
2019,3,5,280,7.7,10.3,2697
2019,4,5,231,11.5,11.5,2644
2019,4,4,77,6.4,13.4,2062
2019,1,1,276,9.6,11.4,875
2019,4,1,378,9.525,13.6,556
